Time (s),ESC (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),4LHE Temp (ºF),90% settling time (s),Max acceleration (RPM/s)
0,1000,0.000509718,0.003732024,22.26183456,-0.001362628,0,0.030334595,0,0,0,0,73.2875,,
0.048995,1050,0.000518995,0.003726703,22.26187674,-0.002086336,0,0.046445759,0,0,0,0,73.2875,,
0.07524,1050,0.000498122,0.003691728,22.26189772,-0.00222804,0,0.049600391,0,0,0,0,73.2875,,
0.09969,1050,0.00048736,0.003822894,22.26192221,-0.003387693,0,0.075416563,0,0,0,0,73.2875,,
0.12498,1050,0.000497984,0.003716295,22.26197093,-0.003023684,0,0.067313162,0,0,0,0,73.2875,,
0.149215,1050,0.000517678,0.003545405,22.24337275,0.12458172,0,2.771117631,0,0,0,0,73.2875,,
0.17392,1050,0.002675937,0.003627729,22.22639202,0.241603638,0,5.369977167,0,0,0,0,73.2875,,
0.19657,1050,0.006967859,0.003798463,22.2152439,0.319970924,0,7.108232116,0,0,0,0,73.2875,,
0.21998,1050,0.01375118,0.004138439,22.21171591,0.345150046,0,7.666374768,0,0,0,0,73.2875,,
0.246735,1050,0.021214817,0.005156459,22.20935858,0.361901414,0.41887902,8.037598272,0.010784955,0.134181318,0,0.000641542,73.2875,,
0.267745,1050,0.026927411,0.006207773,22.21028306,0.353778339,0.523598776,7.857517043,0.020015091,0.254725388,0,0.000790043,73.2875,,
0.29402,1050,0.031165683,0.008073352,22.21187024,0.343136191,0.628318531,7.621696554,0.024933239,0.327135026,0,0.001059259,73.2875,,
0.31765,1050,0.033488503,0.009775876,22.21330702,0.332274018,0.628318531,7.380904784,0.027273509,0.369514438,0,0.001324482,73.2875,,
0.344875,1050,0.034467412,0.011614292,22.21479396,0.320951028,0.628318531,7.129860959,0.028173174,0.395143384,0,0.001628965,73.2875,,
0.37031,1050,0.034240861,0.013608179,22.21615036,0.310979546,0.628318531,6.908768349,0.028098362,0.406705812,0,0.001969697,73.2875,,
0.393765,1050,0.033653653,0.015302291,22.21710777,0.306727737,0.628318531,6.814603185,0.027710999,0.406641418,0,0.002245515,73.2875,,
0.42021,1050,0.032801254,0.016884564,22.21816385,0.299592774,0.628318531,6.656401335,0.027032991,0.406120212,0,0.00253659,73.2875,,
0.445055,1050,0.031847351,0.018352583,22.21888639,0.29286564,0.628318531,6.507148388,0.026253216,0.403451927,0,0.002820373,73.2875,,
0.46941,1050,0.030700654,0.019622704,22.21951983,0.289356607,22.09586833,6.429364878,0.919278402,14.29812151,0.021345769,0.003052044,73.2875,,
