Time (s),ESC (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),4LHE Temp (ºF),90% settling time (s),Max acceleration (RPM/s)
0,1050,0.008760002,0.095021438,22.22756153,0.233639596,116.762527,5.193238493,1.386285453,26.69404562,0.068543919,0.018297145,73.625,1.25045,1037
7.00185833,1080,0.016175994,0.200596015,22.19985914,0.419781388,164.0958563,9.319087682,3.597940414,38.60829018,0.055753012,0.021525285,73.5125,1.099165,433
10.11671833,1110,0.025592726,0.327319973,22.16194769,0.686267621,204.412962,15.20902712,7.094742387,46.64823287,0.046135568,0.021521427,73.5125,0.950455,426
12.91745333,1140,0.035293588,0.455990123,22.12056478,0.979336336,237.8185639,21.66347286,11.38140279,52.53729568,0.040064492,0.021048801,73.5125,0.80097,403
15.55397833,1170,0.044827628,0.583698752,22.07360632,1.306539805,267.4542546,28.84004531,16.25582279,56.36545511,0.035907057,0.020239176,73.4,0.664125,379
18.04239833,1200,0.054491787,0.723598402,22.02308666,1.65717439,293.7389131,36.4960952,21.6978669,59.45257096,0.033348827,0.019826735,73.2875,0.556955,384
20.34847333,1230,0.06530024,0.872844397,21.96750747,2.052339093,317.1961383,45.08477435,28.08247382,62.28815432,0.031081464,0.01936007,73.175,0.449135,330
22.77919333,1260,0.076159071,1.014716433,21.90654148,2.487306597,343.376077,54.48828513,35.4604312,65.07900021,0.028615457,0.018622653,73.0625,0.628805,353
24.94914833,1290,0.085608229,1.165248158,21.84058459,2.947592151,366.6238627,64.37713571,42.55617222,66.10448221,0.027381414,0.018100342,72.95,0.416615,344
26.77662833,1320,0.084244131,1.1507832,20.2566068,3.133275226,368.5088183,63.46952423,42.09058078,66.31620653,0.027340635,0.018131272,72.95,undefined,0
32.55006833,1350,0.07842217,1.077409782,17.90526225,3.132112115,352.9055748,56.08128881,37.52381346,66.90968459,0.028712694,0.019211573,72.8375,1.16904,-40
