Time (s),ESC (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),4LHE Temp (ºF)
0,1000,0.000157916,0.074853991,22.25757451,0.090739494,0,2.019641054,0,0,0,0,70.925
1.00903,1000,0.000412492,0.076629634,22.25698886,0.09432852,0,2.099468813,0,0,0,0,70.925
2.012765,1000,0.000325646,0.076039714,22.25762261,0.08926816,0,1.986897013,0,0,0,0,70.925
3.011775,1000,0.000376902,0.075491155,22.25764872,0.091637907,0,2.039644351,0,0,0,0,70.925
4.010115,1000,0.000465405,0.076164437,22.25769971,0.088342753,0,1.966306473,0,0,0,0,70.925
5.00888,1000,0.000512459,0.07546617,22.25759334,0.091092771,0,2.027505846,0,0,0,0,70.925
5.20562,1010.7916,0.000420746,0.075865928,22.2575929,0.091228589,0,2.030528791,0,0,0,0,70.925
5.4196,1023.7252,0.000428064,0.076431957,22.25757631,0.092012289,0,2.047970536,0,0,0,0,70.925
5.6078,1035.1942,0.000525789,0.076226447,22.25765856,0.094659729,0,2.106903919,0,0,0,0,70.925
5.82091,1047.7048,0.000463123,0.075766892,22.25773651,0.091493221,0,2.036431995,0,0,0,0,70.925
5.999535,1057.7875,0.000229557,0.075986095,22.23405465,0.254940084,0,5.668351757,0,0,0,0,70.925
6.21696,1071.5545,0.046011324,0.088995594,22.1875303,0.578237639,0.104719755,12.82966514,0.0050141,0.039082082,0,0.006936704,70.925
6.413185,1083.3184,0.040117596,0.111193336,22.19101832,0.551555647,78.22565707,12.23958147,4.252137012,34.74086939,0.026149989,0.009084733,70.925
6.602685,1094.6818,0.036181601,0.142279677,22.18170734,0.617277589,108.9085453,13.69227083,5.34514566,39.03768577,0.026618484,0.01039124,70.925
6.812275,1107.2671,0.035286666,0.18433422,22.16762064,0.715866451,134.1460063,15.86905591,6.417919668,40.44298353,0.028721802,0.011615954,70.925
7.005025,1118.8222,0.03655238,0.231072753,22.15353984,0.811299621,156.4513141,17.97315848,7.752548062,43.13403275,0.029806039,0.012856547,70.925
7.221805,1131.9079,0.038483019,0.288447607,22.1373668,0.928508789,178.6519022,20.55473964,9.32305971,45.35722599,0.030939157,0.014033143,70.925
7.42009,1143.7762,0.040685342,0.342452537,22.12288988,1.030219208,196.6637001,22.79142609,10.84931312,47.60260755,0.031564444,0.015025498,70.925
7.61254,1155.3115,0.0429197,0.399415789,22.1082467,1.132140678,213.1047017,25.0296454,12.40033992,49.54261127,0.032210068,0.015957709,70.925
7.803,1166.7217,0.04587357,0.457124904,22.08955637,1.264244585,227.1371489,27.92660203,14.12857481,50.5918149,0.032354637,0.016368798,70.925
8.01586,1179.4387,0.049586402,0.522731823,22.07089985,1.395726006,243.5781504,30.80492889,16.37593208,53.16010351,0.031920737,0.016969097,70.925
8.205695,1190.9326,0.052673573,0.582480844,22.05312348,1.517973955,255.725642,33.47606707,18.26413485,54.55878317,0.031892058,0.017399919,70.925
8.4246,1203.9844,0.056864733,0.649677716,22.02847284,1.692849379,269.6533694,37.29088657,20.79034759,55.75181901,0.031249007,0.01742189,70.925
8.617705,1215.565,0.060475955,0.712415849,22.0090891,1.832571706,281.6961413,40.33323394,23.09970752,57.27214325,0.030840903,0.017663246,70.925
8.814655,1227.2536,0.064528864,0.772100583,21.98628762,1.991094151,293.2153143,43.77676869,25.6527483,58.59899913,0.030098162,0.017637222,70.925
9.013695,1239.2536,0.068568629,0.836045105,21.96423888,2.147482549,304.7344874,47.16781971,28.32727343,60.05635537,0.029513787,0.017724905,70.925
9.20902,1251.2803,0.07252382,0.8985591,21.93788648,2.336728328,314.8923036,51.2628808,30.9616801,60.39785438,0.029021652,0.017528455,70.925
9.412365,1263.2299,0.076473314,0.961667672,21.91483229,2.500712479,325.6784384,54.80269458,33.76370953,61.60957921,0.028482287,0.017547817,70.925
