Time (s),ESC (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),4LHE Temp (ºF),90% settling time (s),Max acceleration (RPM/s)
0,1000,-0.001209353,0.070673682,22.25902248,0.086841455,0,1.93300589,0,0,0,0,72.05,,
0.023985,1050,-0.001225902,0.07075427,22.25901998,0.087147045,0,1.939807825,0,0,0,0,72.05,,
0.0478,1050,-0.001222586,0.070692439,22.25904172,0.086843181,0,1.933045999,0,0,0,0,72.05,,
0.07317,1050,-0.001237859,0.070551162,22.25905449,0.087066326,0,1.938014091,0,0,0,0,72.05,,
0.099515,1050,-0.001232012,0.070392948,22.2590599,0.087315093,0,1.943551881,0,0,0,0,72.05,,
0.125635,1050,-0.001213705,0.070261863,22.25906758,0.08669657,0,1.929784805,0,0,0,0,72.05,,
0.152805,1050,-0.000453182,0.070140339,22.24054839,0.212793031,0,4.732633711,0,0,0,0,72.05,,
0.1764,1050,0.002528594,0.070238574,22.22618621,0.312531505,0,6.946383415,0,0,0,0,72.05,,
0.202285,1050,0.009957576,0.070671171,22.21738751,0.374171378,0,8.313110496,0,0,0,0,72.05,,
0.225965,1050,0.016386801,0.071155725,22.21543043,0.386398512,0,8.584009263,0,0,0,0,72.05,,
0.252525,1050,0.022958761,0.072313552,22.21542704,0.386959079,0,8.596461198,0,0,0,0,72.05,,
0.277135,1050,0.027152941,0.073719428,22.21606267,0.383285185,0,8.5150877,0,0,0,0,72.05,,
0.29953,1050,0.030066446,0.075477286,22.2164415,0.380777305,0.314159265,8.459516723,0.013306611,0.157297536,0,0.008922175,72.05,,
0.324655,1050,0.03173564,0.077201019,22.21706927,0.375613696,0.523598776,8.345035511,0.020561291,0.246389494,0,0.009251131,72.05,,
0.34961,1050,0.032101222,0.079143264,22.21755105,0.372982309,0.523598776,8.286753495,0.022373202,0.269987543,0,0.009550575,72.05,,
0.376375,1050,0.031670857,0.08149371,22.21816266,0.369045938,0.523598776,8.19952267,0.022466951,0.274003159,0,0.009938836,72.05,,
0.401595,1050,0.030952155,0.083112732,22.21861455,0.36571845,0.523598776,8.12575728,0.022139059,0.272455326,0,0.010228306,72.05,,
0.42456,1050,0.029997729,0.084606576,22.21908461,0.362244266,0.523598776,8.048735989,0.021560422,0.267873387,0,0.010511784,72.05,,
0.454975,1050,0.028811329,0.086302056,22.21947224,0.358877844,0.523598776,7.9740763,0.020745688,0.260164152,0,0.010822828,72.05,,
0.48011,1050,0.027563099,0.087963442,22.21973055,0.356539708,0.523598776,7.922216234,0.019855698,0.250633123,0,0.011103388,72.05,,
0.503545,1050,0.026556887,0.089223831,22.21990885,0.35537022,23.98082392,7.896293902,0.864356728,10.94635962,0.103225703,0.011299457,72.05,,
0.53031,1050,0.025422068,0.090652436,22.22013077,0.353820684,45.65781323,7.861941869,1.572898512,20.0064887,0.057634002,0.01153054,72.05,,
0.555845,1050,0.024367208,0.092203595,22.22039561,0.352671961,54.55899242,7.836510496,1.801251473,22.98537689,0.05118863,0.0117659,72.05,,
