Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),4LHE Temp (ºF),App message,
30,1400,,0.08179503007125641,1.1209367915611015,19.03314556623053,3.1339319788173574,359.7123588372,59.64858354749566,39.89537816637799,66.88403276937997,0.028096908541295044,0.0187923455159425,73.7375,,
90,1400,,0.08277645973838375,1.1128777438333535,19.069479932262123,3.1342123120943635,360.13123785768,59.76779878893233,40.41490383271982,67.61986329033715,0.027536320473250015,0.01862002225920078,73.4,,
150,1400,,0.08306580987463665,1.1221570089158879,19.033412770054817,3.1364889149838624,359.39819957184,59.69808816758922,40.475574048199476,67.80045272902748,0.027724301268206623,0.018797201775803598,73.7375,,
210,1400,,0.08331327747181688,1.1148355029775618,19.039554896430957,3.1374778502929996,359.39819957184,59.73618176698975,40.593952726051356,67.95538570642893,0.027463093099138164,0.018662650842435003,73.9625,,
270,1400,,0.0822428873719419,1.1100967423089478,18.760421748499322,3.1365457039651825,358.24628226552,58.842920239830526,39.94900783482221,67.89093347508762,0.027787842614236682,0.018865425743393477,73.9625,,
330,1400,,0.08283283650360036,1.1008828669086512,18.75261432917629,3.138875245536545,358.1415625104,58.86211690694535,40.21948912702718,68.3283090049409,0.027371875943816164,0.01870273997533979,73.9625,,
390,1400,,0.08247606067827455,1.099171174235566,18.785849934161796,3.1371328377203636,358.45572177575997,58.9337067129459,40.085493941752034,68.01794113681042,0.027420671822898438,0.01865097641981702,73.9625,,
450,1400,,0.08305897308614574,1.100595098790947,18.74381819456685,3.138049024544278,357.72268348992,58.81902040169579,40.28324513179168,68.48676645187768,0.027321411052913247,0.01871155097916619,74.075,,
510,1400,,0.08250773830586494,1.1062343816384228,18.749623471398323,3.1358480432180875,357.72268348992,58.79597007386035,40.01322671993164,68.05436949108321,0.02764671765617389,0.018814799385889123,74.075,,
570,1400,,0.08256789026057686,1.1048181680033564,18.76598833918418,3.136413146519382,357.61796373479996,58.857892534446684,40.0360020074355,68.02146710231658,0.02759561676008931,0.018770943376145516,74.075,,
