Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),4LHE Temp (ºF),App message,
0.5,1400,,0.0834306315785525,1.1140633811915588,19.023642672347773,3.118594096661715,359.92179834743996,59.327019734985655,40.715703535692256,68.62927502101013,0.027362007393902626,0.01877834730563056,74.3,,
1.5,1400,,0.08319199478671935,1.113560215353893,19.041093602322505,3.1188257033010505,360.13123785768,59.38585214588462,40.615835605967995,68.39311744856832,0.027416897836524363,0.018751271138088093,74.1875,,
2.5,1400,,0.08370844359662594,1.1131956152907756,19.03052471479741,3.1173576975571464,359.39819957184,59.32495270822522,40.78780384247406,68.75320077047269,0.02729236463895019,0.01876437425522692,74.075,,
3.5,1400,,0.08420657753882259,1.1108940222706964,19.027135179231124,3.1132636633160593,358.87460079624,59.23648857050295,40.97249186871245,69.16765807268811,0.027113167191058763,0.018753542775387783,73.9625,,
4.5,1400,,0.0844280834179379,1.1032480961604758,19.013250808609598,3.1180882874595444,358.76988104111996,59.2849946528563,41.06990483568479,69.2753791683206,0.02686268937253262,0.018609229917630133,73.9625,,
5.5,1400,,0.08472867325359923,1.1106272923970162,19.042759459717878,3.118142330624903,358.97932055136,59.37803436325413,41.235922500585325,69.44642567370674,0.02693348966259337,0.018704345879868394,73.85,,
6.5,1400,,0.08385494163666829,1.111667232080331,18.9741067359132,3.119507728360408,358.56044153088,59.1898726014165,40.767069834590295,68.87507616229381,0.02726875482076214,0.018781375651309093,73.85,,
7.5,1400,,0.08400507463972788,1.1104247884309106,18.96497434497232,3.1195794435365034,358.03684275527996,59.16274411377281,40.783968773234044,68.93522162326431,0.02722699192432854,0.018768987224384154,73.7375,,
8.5,1400,,0.08420739411943398,1.106735823880615,18.97234697330202,3.1195097322422085,357.93212300016,59.18442102669166,40.867479189432615,69.05107540209228,0.027081088577804707,0.01869978289356733,73.7375,,
9.5,1400,,0.0845687556988215,1.1098315106875383,18.994294768152745,3.1196077142270724,357.30380446943997,59.25474848503222,40.96835493961487,69.13936180146557,0.027089970107986267,0.0187298324448695,73.625,,
10.5,1400,,0.08484976725091417,1.121227003674749,18.980775407473164,3.1217905318024655,357.40852422456,59.254004953318805,41.111495425380475,69.38180036567778,0.027272834327076105,0.01892238346687398,73.625,,
11.5,1400,,0.0842544995222384,1.1114693315752322,19.029347120400814,3.120896662714478,357.82740324504,59.38862592169426,40.880677698774875,68.83587061380626,0.02718813371355977,0.018715188545374645,73.625,,
12.5,1400,,0.08426759260108542,1.1072105443014704,19.008956407932995,3.1156043498626738,358.87460079624,59.224387270905986,41.00652013302158,69.23924758469568,0.027000841346931558,0.01869517939015282,73.625,,
13.5,1400,,0.08422143274380729,1.102875097713994,19.0530469486819,3.1200546329182206,359.29347981672,59.446547403443326,41.024619539288366,69.01093727255234,0.026883249865554393,0.018552382701541255,73.625,,
14.5,1400,,0.08446005077205314,1.1023207195262323,19.028435879853227,3.1176092905440056,359.29347981672,59.32322848355132,41.149385147483834,69.36470957391238,0.026788267080428925,0.0185816036602235,73.5125,,
15.5,1400,,0.08420723958784954,1.0974190028478026,19.04250212844507,3.117707121447051,360.55011687816,59.368944496023815,41.16310664880002,69.33440875230127,0.026660257016334662,0.018484731574119555,73.5125,,
16.5,1400,,0.08390425204520838,1.1023769095081777,19.067308168505903,3.1169669278186634,360.65483663327996,59.43216896375955,41.02509423492982,69.0284318244317,0.02687079530385541,0.018548488617004425,73.5125,,
17.5,1400,,0.08433166905459534,1.1005480114196364,19.057925493338164,3.120171620266682,359.92179834743996,59.46399826547064,41.15403068051624,69.20831407398555,0.02674216822073456,0.018507803772399526,73.4,,
18.5,1400,,0.0841701431574371,1.1056232274377558,19.056943277489037,3.1195716593788494,359.7123588372,59.449500162845084,41.05526137299936,69.05905223852193,0.026930122728798075,0.01859768752317873,73.4,,
19.5,1400,,0.08452667896877297,1.1058931328065222,19.01807291356511,3.118723089649607,359.7123588372,59.31210311617528,41.226956591362075,69.50850572708637,0.02682451542004511,0.018645319837005226,73.4,,
20.5,1400,,0.08495144841915507,1.1019265674455971,19.035580527257718,3.1170501771259143,359.29347981672,59.334859654183276,41.38091370008017,69.7413189164975,0.026628860238131043,0.01857131834250337,73.4,,
21.5,1400,,0.08292509026954499,1.1059692515232773,19.04351092118374,3.1178722904749856,359.81707859232,59.37523501451655,40.450373501393734,68.12667518958719,0.027341385401179807,0.01862677682459498,73.4,,
22.5,1400,,0.08395683447319702,1.1105635994862344,19.08117802512589,3.119041260563291,360.13123785768,59.51498156052123,40.99684132242924,68.88490972771159,0.027089004022333024,0.01866023596692026,73.4,,
23.5,1400,,0.08416184442834135,1.1144570208132938,19.02012407587145,3.1177469610256345,359.18876006159996,59.29993403587872,40.98805232612958,69.11989531275069,0.027189801846301338,0.018793562571907833,73.4,,
24.5,1400,,0.08442424929771362,1.1187261844729726,19.032122017016793,3.118918349339498,358.76988104111996,59.35963458574194,41.061807580707466,69.17462997754104,0.027244932709650036,0.01884658138953046,73.2875,,
25.5,1400,,0.08432658274573948,1.128844767952464,18.974652127949604,3.117450756731701,357.51324397968,59.15254363499727,40.86913325307806,69.09108339492956,0.027620961789480696,0.019083621744451735,73.2875,,
26.5,1400,,0.08496547716500304,1.1251042847218566,18.953349573986866,3.1182847673064673,356.78020569384,59.101941265997766,41.0990313586139,69.53922405634887,0.027375445297107896,0.01903667224157908,73.2875,,
27.5,1400,,0.08523211752147397,1.1243574604723006,18.94840471621694,3.1196536772043864,356.98964520408,59.11246045010311,41.25041520746235,69.78294405843904,0.027256876199124903,0.019020650670113316,73.175,,
28.5,1400,,0.08492731100608612,1.1142372513654044,18.97593289285517,3.119414953537473,358.24628226552,59.19380882329601,41.24655475242922,69.68052161596407,0.027014068400459106,0.018823543771133225,73.175,,
29.5,1400,,0.08379843631045396,1.1150567909122957,19.025112630808202,3.118805453886886,359.7123588372,59.3356250337769,40.87112431995595,68.88125691216702,0.027282263687760894,0.018792366142221434,73.175,,
30.5,1400,,0.0836041090311964,1.117680674876063,19.06547535481291,3.1198588043340822,360.44539712304,59.48159114452752,40.85372772718423,68.68297727261266,0.02735810749853199,0.01879036275543367,73.175,,
31.5,1400,,0.08376812032503907,1.1119305601486489,19.0773392504009,3.118680449463045,360.02651810256,59.49612494799927,40.88940268495426,68.72616110829465,0.027193612210867458,0.018689125739205656,73.175,,
32.5,1400,,0.08328494689450384,1.111937233690818,19.038304416737567,3.12266030830901,359.60763908207997,59.45015753965052,40.60445689582711,68.29999881622821,0.027384610426967458,0.018703688597447483,73.0625,,
33.5,1400,,0.084041963133754,1.111013177629529,19.035149970783632,3.1237264149628348,359.29347981672,59.46060077651586,40.945027135200576,68.86076931696918,0.027134264045324985,0.018684862970108546,73.0625,,
34.5,1400,,0.08335242715592753,1.1127717025422712,19.03655091277739,3.118407250307663,359.29347981672,59.36371838725597,40.603948753110906,68.39859405071843,0.0274055045559335,0.0187449798087641,73.0625,,
35.5,1400,,0.08433099816468805,1.1122990537358288,18.983126214171005,3.1212663257363187,358.24628226552,59.251392609494324,40.95611740388403,69.12262412769232,0.027158312951567648,0.018772538580934486,73.0625,,
36.5,1400,,0.08435648789990546,1.112002831878263,19.02155207995123,3.1220878527416938,358.35100202063995,59.38695668910924,40.98352674113279,69.01098999849677,0.02713292193963899,0.018724698046064202,73.0625,,
37.5,1400,,0.08396223323347538,1.1069897954545835,18.98237782776428,3.122974028613874,358.97932055136,59.2814729574437,40.861316874408914,68.92763427747816,0.027091388142409127,0.018673452939491852,73.0625,,
38.5,1400,,0.08423683639374277,1.1087765053144085,19.00056180017814,3.1185038415643707,358.97932055136,59.253324965736766,40.99620392614804,69.18802269721421,0.027045833495018132,0.018712477417183907,73.0625,,
39.5,1400,,0.08386351611969443,1.0966093986909944,19.028086580641077,3.120322990888217,359.39819957184,59.37377603018591,40.85988270813075,68.8180631923383,0.026838290421053485,0.018469591661703866,73.175,,
40.5,1400,,0.08355836264024165,1.0964501668655122,19.058845532147764,3.1207189238413613,360.02651810256,59.47729991874291,40.78884421647684,68.57884314217695,0.026881128600907894,0.01843476701806349,73.0625,,
41.5,1400,,0.08342331592191272,1.1057978251563148,19.054195053432863,3.12017110453018,360.55011687816,59.452348825803114,40.779316366316635,68.59159843423691,0.027116634698410347,0.018599733181212576,73.0625,,
42.5,1400,,0.08388572693021636,1.106782156040417,19.061877945170153,3.1203436654045613,360.34067736791997,59.4796100969266,40.985385400149376,68.90661410416197,0.02700431251858823,0.018607757418665494,73.175,,
43.5,1400,,0.08352616758224614,1.1055775942606951,19.04654461418204,3.120775846233238,360.13123785768,59.43999638614307,40.781472574807424,68.60948023932684,0.027109800712386754,0.01859989336268588,73.0625,,
44.5,1400,,0.08351183797696601,1.096898747993214,19.08396313441794,3.1204870186733924,360.65483663327996,59.55125922579276,40.83590869986717,68.5727039709353,0.026861132344455012,0.018419404765804292,73.0625,,
45.5,1400,,0.08400664292104239,1.106748563503276,19.072007526648278,3.1229824620112403,360.23595761279995,59.561545021068945,41.03167640491579,68.88954339650104,0.026973028169297083,0.01858159594603836,73.0625,,
46.5,1400,,0.08417821296233831,1.1062700997957697,19.052474759695283,3.1188415885403966,360.13123785768,59.421650645153846,41.104372650120254,69.1740673708002,0.026913684079606877,0.018617289957191585,73.0625,,
47.5,1400,,0.08445261614246807,1.1143464349227956,19.007526513915227,3.118642710477132,359.08404030648,59.27768400682254,41.121406035890544,69.37080408060088,0.02709893805552758,0.01879875122642343,73.0625,,
48.5,1400,,0.08433646430410831,1.1053367417967566,19.043707435628217,3.1194716973598866,359.39819957184,59.40630635824425,41.09259852388584,69.17211495372345,0.026898682037697345,0.01860638726015257,73.0625,,
49.5,1400,,0.0844312624162005,1.1111419747821778,19.01182995969011,3.1176291346981917,359.29347981672,59.271834986257836,41.12432560879374,69.38257541432353,0.027019092917224128,0.018746542519559175,73.0625,,
50.5,1400,,0.08497903980372143,1.1148157735602628,19.038219639233663,3.1169415340641637,359.60763908207997,59.34101752816346,41.42678396089734,69.81138121070478,0.026910507332949987,0.018786596859940382,73.0625,,
51.5,1400,,0.0851019104260451,1.1168141682119288,19.02197162962113,3.118210116842703,359.39819957184,59.314504377779485,41.471087163133696,69.91727840967962,0.02692994673177356,0.01882868583203254,73.0625,,
52.5,1400,,0.084324386603724,1.1228058310162274,18.995961130724034,3.1186071088833787,358.665161286,59.24093942234831,41.00263206734526,69.21333872682858,0.02738375012540809,0.018953207730407044,73.0625,,
53.5,1400,,0.08396806597009188,1.1185395747867977,18.997834401246,3.1176516710010933,358.56044153088,59.22863016644664,40.824546312806554,68.9270479463729,0.02739870190390615,0.018885116397989173,73.0625,,
54.5,1400,,0.0837160249542262,1.114167656981323,18.97756882223272,3.116821607511464,358.665161286,59.14969656317083,40.70573070977902,68.81815643180185,0.02737127273122894,0.018836405285552252,73.0625,,
55.5,1400,,0.08330324633959693,1.114727153413996,18.979566487540026,3.118973315297817,358.45572177575997,59.19676141055806,40.48606349726821,68.39236223832897,0.02753360186497786,0.018830880724754962,73.0625,,
