Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),ESC Temp (ºF),Motor Temp (ºF),App message,90% settling time (s),Max acceleration (RPM/s)
1.71361,1145,,0.000210118,0.000502199,57.09627202,-0.015815859,0,0.903026576,0,0,0,0,74.525,78.575,,undefined,0
2.9227,1905,,2.173233866,15.14365197,45.61971676,35.26580276,4392,1608.815933,1355.117446,84.23073255,0.011175158,0.009412918,74.6375,78.575,,0.52181,8620
8.93376,1145,,-0.000303818,0.003089962,56.7048294,-0.01987212,0,1.126845202,4.57E-43,4.06E-41,0,0.002742135,74.525,78.0125,,2.690495,-5688
11.91129,1905,,2.117627407,14.85403637,45.25456333,34.67751007,4365,1569.315576,1312.37682,83.62733666,0.011318423,0.009465296,74.4125,78.0125,,0.52763,11272
18.25997,1145,,-0.005575053,0.00567113,56.58340023,-0.01633887,0,0.924508812,2.60E-42,2.81E-40,0,0.006134209,74.4125,77.5625,,2.64857,-5652
21.301275,1905,,2.086881993,14.51551658,45.08411066,34.20335578,4348,1542.027877,1288.444401,83.55519509,0.011265924,0.009413265,74.4125,77.5625,,0.483465,12250
28.10132,1145,,-0.001693484,0.00042805,56.52825664,-0.011909328,0,0.67321355,4.01E-43,5.96E-41,0,0.000635832,74.1875,77.3375,,2.69158,-6008
32.22435,1905,,2.071202292,14.42228037,44.99413808,34.05993956,4340,1532.497623,1276.240088,83.27843832,0.011300601,0.009410964,74.1875,77.45,,0.55067,9294
38.531555,1145,,-0.005227457,-0.003083522,56.45959982,-0.017262091,0,0.974610778,7.72E-42,7.92E-40,4.00E+38,0.003163849,74.1875,77.225,,2.64703,-6550
41.579035,1905,,2.089657817,14.83744493,44.79879312,33.92922461,4327,1519.988314,1283.831489,84.46324735,0.011557159,0.009761552,74.1875,77.225,,0.470815,10526
48.00144,1145,,-0.004597826,0.000687776,56.39309215,-0.015837552,0,0.893128529,3.61E-43,4.04E-41,0,0.000770076,74.075,77.1125,,2.687515,-5377
51.022305,1905,,2.092096029,14.59982955,44.66174272,33.83038262,4320,1510.923845,1283.207247,84.92865153,0.011377608,0.009662849,74.075,77.225,,0.472465,9660
57.51521,1145,,-0.004658216,0.001970592,56.35058635,-0.016715867,0,0.941948927,1.19E-42,1.26E-40,0,0.002092036,74.075,76.8875,,2.630065,-6259
60.569175,1905,,2.064087699,14.71199226,44.56895057,33.63409176,4311,1499.036173,1263.246911,84.2706089,0.011646173,0.009814301,73.9625,77,,0.492,11351
66.703805,1145,,-0.002153646,0.003104165,56.26919387,-0.013073191,0,0.73561791,7.38E-41,1.00E-38,0,0.004219806,74.075,76.775,,2.670385,-5534
69.70414,1905,,2.046771098,14.05798933,44.4206227,33.72550592,4303,1498.107974,1250.537707,83.47447107,0.011241556,0.009383829,74.075,77,,0.515445,10327
75.866165,1145,,-0.0006428,0.004588941,56.22868758,-0.013165394,0,0.740272827,1.41E-42,1.90E-40,0,0.006198986,74.075,76.775,,2.6735,-6427
78.853275,1905,,2.032084434,13.95746954,44.32557913,33.50183193,4294,1484.988102,1239.026839,83.43681929,0.011264865,0.009399045,73.9625,76.8875,,0.535735,11408
85.113875,1145,,-0.004624159,0.000889538,56.18662281,-0.014011498,0,0.787258738,9.12E-42,1.16E-39,0,0.001129918,73.9625,76.6625,,2.628145,-5316
88.11674,1905,,2.007091311,13.80592425,44.26563763,33.25427195,4288,1472.021552,1222.025943,83.0168513,0.011297571,0.009378887,73.9625,76.775,,0.492565,8510
94.12656,1145,,-0.002336499,0.001272416,56.11207077,-0.008550619,0,0.479792963,1.92E-42,4.01E-40,0,0.00265201,73.9625,76.6625,,2.69275,-6958
