Time,ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),Motor Temp,App message
0.243817,1220,,0.00452291,-0.043731065,24.71823328,0.168330935,0,4.160843341,0,0,0,0,76.6625,76.325,74.525,
0.2445035,1220,,0.004693798,-0.043287871,24.71827618,0.170440211,0,4.212988102,0,0,0,0,76.6625,76.325,74.525,
0.771943,1220,,0.00465081,-0.042962193,24.71825909,0.173265366,0,4.282818056,0,0,0,0,76.6625,76.325,74.525,
1.30777525,1220,,0.004777832,-0.043849669,24.71815858,0.171990266,0,4.25128265,0,0,0,0,76.6625,76.353125,74.525,
1.85695475,1220,,0.004636282,-0.043371575,24.71828999,0.168843832,0,4.173530699,0,0,0,0,76.6625,76.4375,74.525,
2.3981065,1220,,0.004627349,-0.043608073,24.71795322,0.175395552,0,4.335417832,0,0,0,0,76.6625,76.431875,74.525,
2.9213785,1220,,0.004676977,-0.044020685,24.71746388,0.184517016,0,4.560792401,0,0,0,0,76.6625,76.325,74.525,
3.46142975,1222.4,,0.004428005,-0.044522478,24.71815622,0.17429415,0,4.308229457,0,0,0,0,76.6625,76.325,74.525,
3.98191325,1243.4,,0.004493763,-0.044823709,24.71856031,0.168516454,0,4.165484123,0,0,0,0,76.6625,76.409375,74.525,
4.5006465,1268.25,,0.004520751,-0.044630712,24.71867916,0.1675673,0,4.142042335,0,0,0,0,76.6625,76.4375,74.525,
5.0061605,1292.7,,0.004470668,-0.044491857,24.71872867,0.168199328,0,4.157673545,0,0,0,0,76.6625,76.3925,74.525,
5.50552375,1316.45,,0.004489112,-0.043780826,24.71880443,0.167069123,0,4.129748955,0,0,0,0,76.6625,76.325,74.525,
6.022643,1341.35,,0.004565182,-0.043474605,24.71873717,0.166625885,0,4.118781485,0,0,0,0,76.6625,76.330625,74.525,
6.548145,1366.55,,0.005077572,-0.043772123,24.71764687,0.183501541,0,4.535545254,0,0,0,0,76.6625,76.4375,74.525,
7.0941395,1392.7,,0.007631739,-0.041849456,24.67901743,0.707781397,0,17.4663694,0.000121011,0.000682308,17093.58199,0.00194506,76.6625,76.4375,74.525,
7.63205375,1418.7,,0.005157637,-0.043498985,24.66559575,0.865286053,0,21.34248877,5.76E-05,0.000263814,40833688324,0.002046792,76.6625,76.4375,74.525,
8.133344,1442.65,,0.004574164,-0.043361158,24.62939601,1.342043401,2,33.05310904,0.001305775,0.003651571,4499388476,0.001318701,76.6625,76.4375,74.525,
8.6289895,1466.55,,0.004137612,-0.042973496,24.61876249,1.449657682,47,35.68876445,0.029099447,0.081266686,1058.881003,0.001204248,76.6625,76.4375,74.525,
9.1292185,1490.5,,0.043371926,-0.017961473,24.62269343,1.372673004,488,33.78874007,4.522627238,12.09641551,3166.923779,0.000843588,76.6625,76.4375,74.525,
9.6577775,1515.85,,0.144500642,0.550040021,24.44969257,3.765828385,3138,92.04898151,65.6803436,70.34242645,0.007755701,0.005818235,76.6625,76.4375,74.525,
10.16643225,1540.2,,0.127078049,1.241155975,24.42519121,3.9830528,3883,97.28316166,70.04412735,72.11901049,0.017715867,0.012741984,76.6625,76.4375,74.525,
10.68912,1565.35,,0.138056232,1.560032437,24.35760236,4.826689695,4237,117.5581059,83.14585963,70.72395442,0.018780638,0.013282234,76.6625,76.4375,74.525,
11.2076465,1590.25,,0.165134616,1.910551094,24.2508805,6.19973437,4665,150.3344158,109.5400592,72.80359914,0.017471777,0.012716568,76.6625,76.4375,74.598125,
11.71152775,1614.45,,0.188750049,2.279647917,24.15280216,7.421639,5051,179.2432736,135.4360597,75.54113902,0.01684166,0.01272178,76.6625,76.4375,74.6375,
