Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),4LHE Temp (ºF),App message
0.2393535,1220,,0.004559244,0.000949567,25.07547936,0.259534511,0,6.58283514,0,0,0,0,76.1,72.725,90.05,
0.2341735,1220,,0.000437447,0.000338554,25.04123528,0.629480045,2,15.76288407,0.000125501,0.000777253,0.040282743,9.15117E-06,76.1,72.725,90.05,
0.7337035,1220,,0.001631731,0.000835007,25.00776189,0.989810704,1,24.74915236,3.89245E-05,0.000173641,0.025052822,3.03111E-05,76.1,72.725,90.05,
1.27706875,1220,,0.003909223,0.000336704,24.98076415,1.246434594,2,31.13687053,0.00043924,0.001404789,11170.00745,1.14856E-05,76.1,72.725,90.033125,
1.78842925,1220,,0.002300359,-0.000855579,24.94019756,1.674912263,49,41.76511045,0.011949239,0.028080514,16731241.71,2.05951E-05,76.1,72.725,89.9375,
2.316812,1220,,0.00318644,-0.000591696,24.89803114,2.086864821,30,51.95857167,0.006264571,0.011762461,2629870.56,1.16054E-05,76.1,72.725,89.9375,
2.8331595,1220,,0.028785705,0.013063254,24.92483749,1.708427146,304,42.56145955,2.113292779,7.895520302,0.518155364,0.000493508,76.1,72.725,89.9375,
3.36072325,1220.95,,0.060016299,0.178840639,24.97925611,1.061273618,1766,26.50709441,14.89302098,57.44056377,0.012368171,0.007367774,76.1,72.725,89.9375,
3.86198475,1248.1,,0.041598634,0.324163317,24.98839926,0.955030902,2089,23.86367956,12.37002705,51.91902077,0.026276942,0.013624621,76.1,72.725,89.9375,
4.36048475,1287.25,,0.059060306,0.468512451,24.94107375,1.494074705,2523,37.26118532,21.29156611,56.8023768,0.022159912,0.012557599,76.1,72.725,89.9375,
4.87647625,1327.5,,0.081279838,0.722820999,24.87733976,2.189833572,3050,54.47080924,35.35526345,64.78427031,0.020488803,0.013269699,76.1,72.725,89.920625,
5.3842045,1367.1,,0.103772075,1.036893387,24.79593757,3.068902339,3559,76.09009685,52.54084355,69.00020116,0.019735594,0.013617935,76.1,72.725,89.825,
5.8843735,1406.15,,0.129125852,1.396203906,24.69475618,4.160236719,4050,102.730078,74.37570318,72.29873376,0.018780445,0.01357593,76.1,72.725,89.825,
6.38437575,1445.2,,0.153034792,1.764336256,24.57789379,5.403158172,4500,132.7749959,97.96385726,73.78650271,0.01805037,0.013318844,76.1,72.80375,89.6675,
6.8849075,1484.1,,0.182589529,2.196903986,24.42694439,7.021630646,4970,171.5039317,128.9340532,75.16464032,0.017041618,0.01280933,76.1,72.8375,89.6,
7.415667,1525.55,,0.21013063,2.621134922,24.27250771,8.627098901,5382,209.3792179,160.6824132,76.72373176,0.016326628,0.012525478,76.1,72.8375,89.4425,
7.91059825,1564.1,,0.243706159,3.06419753,24.06599529,10.83929277,5828,260.8150644,201.8813985,77.36026154,0.015199976,0.011756477,76.1,72.8375,89.15,
8.4113005,1603.25,,0.274902749,3.573912223,23.84506494,13.15609814,6241,313.6603654,243.7300716,77.72740416,0.014668048,0.01140142,76.1,72.8375,89.15,
8.910817,1642.15,,0.301287322,4.010624658,23.63742215,15.25746643,6568,360.6021114,281.0615519,77.93556519,0.014278152,0.011127403,76.1,72.8375,88.745,
9.41213025,1681.3,,0.33107492,4.451365169,23.39645379,17.64048228,6901,412.6776802,324.4814127,78.62004498,0.013723131,0.010788804,76.1,72.8375,88.7,
9.910688,1720.05,,0.36250917,4.88817471,23.12572634,20.27186195,7217,468.7350083,371.5711179,79.25983538,0.013163309,0.010432639,76.1,72.8375,88.41875,
10.428146,1760.65,,0.393407974,5.34406323,22.83837804,23.28328601,7535,531.6705876,421.0111807,79.18744975,0.012698102,0.010055309,76.1,72.8375,88.1375,
10.93592425,1800.05,,0.423037395,5.826378821,22.53993744,26.46916441,7823,596.5254983,469.9683283,78.79135845,0.012400064,0.009770339,76.11125,72.8375,88.08125,
11.453722,1840.6,,0.458223783,6.36046971,22.22901394,29.94021824,8098,665.4462719,526.9922112,79.18811777,0.01207176,0.009559264,76.2125,72.8375,87.575,
11.96179775,1880,,0.490696453,6.85578288,21.92082875,33.39707627,8360,732.0080037,582.5147049,79.57535829,0.011772581,0.009367941,76.2125,72.8375,87.575,
12.46397625,1919.25,,0.52057642,7.288401739,21.61201979,37.06155499,8609,800.8876492,636.4082722,79.46053381,0.011455103,0.009102174,76.128125,72.8375,87.153125,
12.9830185,1959.8,,0.538012157,7.630791034,21.45199313,38.99157834,8756,836.4467896,668.8588092,79.96424335,0.011408712,0.009122823,76.1,72.8375,87.0125,
13.48488,1994.65,,0.536016699,7.694063352,21.45640255,38.95735579,8766,835.8846796,667.103119,79.80804451,0.011533564,0.009204696,76.1,72.8375,86.894375,
13.98398425,2000,,0.535511301,7.713035483,21.4513975,38.99887368,8756,836.5803197,665.7355026,79.57820049,0.011585766,0.009219717,76.1,72.8375,86.675,
14.48464,2000,,0.539975511,7.834194495,21.42934683,39.22954021,8731,840.662701,669.3433075,79.62044391,0.011704296,0.009318988,76.1,72.8375,86.675,
14.988591,2000,,0.540315802,7.741551654,21.44561614,39.11589868,8753,838.8640986,671.5155025,80.05007437,0.011528816,0.009228592,76.206875,72.8375,86.2475,
15.51036775,2000,,0.532700568,7.742134314,21.4528895,39.02936674,8753,837.2926911,662.0004212,79.0643934,0.011695071,0.009246628,76.2125,72.8375,86.225,
16.01023575,2000,,0.530220065,7.697900828,21.4609706,38.89917992,8764,834.8137414,659.7712657,79.03223131,0.011667494,0.009221067,76.150625,72.8375,86.10125,
16.509015,2000,,0.529718377,7.655031586,21.45938623,38.87958503,8755,834.3318088,658.4880049,78.92397983,0.01162518,0.009175047,76.1,72.8375,86,
17.0174965,2000,,0.530592013,7.681077901,21.44605765,38.98928572,8745,836.1664161,658.8284777,78.79156614,0.011658702,0.009186057,76.1,72.8375,85.9325,
17.53414275,2000,,0.530923229,7.720965995,21.43717568,39.04393952,8738,836.9917319,658.6945157,78.69786196,0.011721621,0.009224664,76.1,72.8375,85.6625,
18.05166975,2000,,0.529742738,7.660651948,21.44476355,38.90577105,8751,834.3249453,658.1706109,78.88665193,0.011639304,0.009181841,76.1,72.8375,85.6625,
18.55964925,2000,,0.531377139,7.606335079,21.45146051,38.78614151,8758,832.0192975,660.7205031,79.41175427,0.011512217,0.009142017,76.1,72.8375,85.4825,
19.070913,2000,,0.523797821,7.611380635,21.44945377,38.76012543,8751,831.3832189,650.7929562,78.27859917,0.011695823,0.009155063,76.1,72.8375,85.4375,
19.58518525,2000,,0.526005633,7.660630306,21.44065297,38.81379815,8747,832.1930961,653.2796651,78.50110594,0.011726433,0.00920536,76.1,72.8375,85.386875,
20.08580575,2000,,0.525434405,7.6605881,21.44064549,38.77707346,8746,831.4054457,652.4725132,78.47825373,0.011740872,0.009214021,76.1,72.8375,85.325,
20.5860325,2000,,0.525711637,7.688228286,21.43200317,38.85462776,8737,832.732446,652.1058255,78.30926599,0.011789946,0.009232529,76.1,72.8375,85.319375,
21.111456,2000,,0.524529887,7.721502804,21.41770655,38.99267565,8722,835.1334265,649.5298544,77.7755661,0.011887828,0.009245821,76.1,72.8375,85.2125,
21.61031775,2000,,0.529077576,7.752505816,21.41145679,39.03781605,8720,835.8564993,655.0255064,78.36586108,0.011835466,0.009274928,76.1,72.8375,85.2125,
22.1140995,2000,,0.530927918,7.766879627,21.4224896,38.87596149,8734,832.8193801,658.3518997,79.05096838,0.011797493,0.009326013,76.1,72.8375,85.2125,
22.6359265,2000,,0.532312314,7.705610382,21.41124546,38.98287702,8719,834.6718572,658.9510622,78.947258,0.011693757,0.009231908,76.1,72.8375,85.2125,
23.141892,2000,,0.527494052,7.633410143,21.41851199,38.86446028,8730,832.4188745,653.8385921,78.54688084,0.011674792,0.009170151,76.1,72.8375,85.2125,
23.66058725,2000,,0.531289111,7.656634252,21.40558564,38.9852198,8711,834.5007357,657.068346,78.73773567,0.011652708,0.00917508,76.1,72.8375,85.2125,
24.160433,2000,,0.53102573,7.633232048,21.41564008,38.83054558,8732,831.5800262,658.3697507,79.1709465,0.011594128,0.009179157,76.1,72.8375,85.2125,
24.660698,2000,,0.534236011,7.683415067,21.39998465,38.99475022,8709,834.4868929,660.614555,79.1640502,0.011630822,0.009207344,76.1,72.8375,85.01,
25.15974725,2000,,0.528234594,7.631010778,21.40771253,38.87516733,8721,832.228386,654.0890403,78.59485595,0.011666707,0.009169369,76.1,72.8375,84.9875,
25.6609785,2000,,0.528868097,7.664014987,21.40170475,38.92671852,8714,833.0981115,654.3104622,78.53942128,0.011713122,0.009199413,76.1,72.8375,85.04375,
26.1661725,2000,,0.527317042,7.658026654,21.40603643,38.85195388,8721,831.6662958,652.9618642,78.5125029,0.011728151,0.00920806,76.1,72.8375,85.1,
26.732675,2000,,0.524273046,7.67039631,21.41421336,38.72498995,8730,829.2651198,649.8621352,78.36599394,0.011803194,0.009249646,76.1,72.8375,85.128125,
27.237771,2000,,0.526610669,7.663294824,21.42179744,38.60024215,8739,826.8863952,653.4214297,79.02199145,0.011727976,0.009267634,76.1,72.8375,85.2125,
27.7456305,2000,,0.525660491,7.672843334,21.41827107,38.61709323,8730,827.1110653,651.5323026,78.77224408,0.01177664,0.009276669,76.1,72.8375,85.2125,
28.3013785,2000,,0.526341096,7.683663039,21.4061111,38.7355476,8721,829.1773995,651.727352,78.59925029,0.011789713,0.00926661,76.1,72.8375,85.40375,
28.8605875,2000,,0.523605766,7.659336698,21.39821629,38.80625567,8712,830.3845621,647.6909905,77.99903225,0.011825621,0.009223852,76.1,72.8375,85.4375,
29.36211825,2000,,0.525582466,7.684164753,21.38981263,38.87740274,8707,831.5803304,649.7318807,78.13215149,0.011826648,0.00924043,76.1,72.8375,85.510625,
29.907979,2000,,0.529582208,7.771406369,21.37963239,38.97607427,8694,833.2935329,653.6710064,78.44413393,0.011888837,0.009326091,76.1,72.8375,85.55,
30.4359525,2000,,0.531507707,7.754539441,21.37937788,38.95174108,8705,832.7633603,656.9118725,78.88304453,0.011804536,0.00931177,76.139375,72.8375,85.589375,
30.93615,2000,,0.527240959,7.721831922,21.39118421,38.78307994,8713,829.6158384,652.2313073,78.61845637,0.011839067,0.009307697,76.2125,72.8375,85.6625,
31.45896175,2000,,0.526530831,7.711441656,21.38915601,38.78420523,8708,829.5612122,650.9561335,78.46978165,0.01184633,0.009295784,76.2125,72.8375,85.6625,
32.01379875,2000,,0.525684551,7.697858571,21.38878062,38.76462796,8711,829.1280849,650.1807499,78.41730014,0.01183959,0.009284272,76.2125,72.8375,85.6625,
32.534659,2000,,0.521670485,7.66200346,21.38816924,38.74943246,8710,828.7794101,645.1279249,77.84074332,0.01187675,0.009244925,76.2125,72.8375,85.6625,
33.06071775,2000,,0.523354395,7.690945967,21.37806356,38.84481837,8695,830.426307,646.1000827,77.80322454,0.0119036,0.009261399,76.2125,72.8375,85.6625,
33.56077875,2000,,0.533954127,7.787162834,21.35055832,39.14651965,8674,835.7996163,657.5599982,78.67439976,0.011842738,0.009317002,76.2125,72.8375,85.6625,
34.063486,2000,,0.52588672,7.677077539,21.3730831,38.84658571,8704,830.2708509,649.8561558,78.27006206,0.011813598,0.009246463,76.2125,72.8375,85.6625,
34.58220775,2000,,0.523568611,7.673141143,21.38299085,38.71058189,8712,827.7479009,647.5907237,78.23548116,0.011848854,0.009269904,76.2125,72.8375,85.6625,
35.08762225,2000,,0.517402966,7.517166049,21.41273922,38.33477193,8750,820.8507932,642.8099925,78.30873228,0.011694142,0.009157572,76.2125,72.8375,85.6625,
35.5874215,2000,,0.511991145,7.470657418,21.42703203,38.16220513,8750,817.7024508,636.0269169,77.78210102,0.011745766,0.009136116,76.2125,72.8375,85.6625,
