Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),4LHE Temp (ºF),App message
0.23574775,1220,,0.013831631,0.132667541,24.73877572,0.522439431,0,12.92038157,0,0,0,0,73.625,71.825,74.8625,Start 70% 3 cycle test
0.238784,1220,,0.011820885,0.132247418,24.7079241,0.880013267,1,21.74323299,0.001437414,0.006714456,0,0.006087514,73.625,71.825,74.96375,
0.7384575,1220,,0.015027407,0.131414996,24.68761753,1.101738451,1,27.19554446,0.001655666,0.005231166,0,0.005009504,73.625,71.825,74.975,
1.2406025,1220,,0.01637629,0.131686723,24.65361622,1.474089265,5,36.34154759,0.014750155,0.040518353,0,0.003624918,73.625,71.825,74.975,
1.7387685,1220,,0.016580123,0.130607087,24.63399953,1.67078664,45,41.15407491,0.115753081,0.314977914,0,0.003226465,73.625,71.825,74.975,
2.23988825,1220,,0.013048293,0.129899209,24.5797497,2.283581257,48,56.12950376,0.080682158,0.14145455,0,0.002315653,73.625,71.825,74.975,
2.739008,1220,,0.022463757,0.132694133,24.57301606,2.281920718,22,56.0721082,0.134606172,0.274331775,0.006906904,0.00238184,73.625,71.825,74.975,
3.23881275,1220,,0.074854707,0.214131172,24.64420421,1.339824051,1161,33.01701051,12.91993161,39.85517171,0.026926853,0.006604025,73.625,71.825,74.975,
3.7393125,1230.5,,0.05726623,0.400105677,24.6634936,1.103437441,1933,27.21456074,15.66258121,57.51862627,0.025863885,0.014716805,73.625,71.825,74.975,
4.2419675,1254.55,,0.056115798,0.503590864,24.64913194,1.285928575,2202,31.69663776,17.57392415,55.37981711,0.028691035,0.015883226,73.625,71.825,74.975,
4.73916725,1278.4,,0.066097068,0.625473059,24.62546502,1.566012514,2489,38.5631888,23.40230729,60.59248129,0.026783144,0.016213722,73.625,71.825,74.975,
5.2384565,1302.35,,0.077232867,0.770862619,24.59373174,1.93401368,2784,47.56353746,30.5742585,64.21101669,0.025250171,0.016207014,73.625,71.825,74.975,
5.74012025,1326.4,,0.089683139,0.930876399,24.55487314,2.376529981,3079,58.35264545,39.26777221,67.24039707,0.023771284,0.015978125,73.625,71.825,74.975,
6.2537195,1351.2,,0.104125964,1.133413783,24.50852596,2.894127523,3401,70.92948712,50.31660455,70.91837299,0.02252159,0.015972517,73.625,71.825,74.975,
6.76518225,1375.65,,0.117703047,1.341531601,24.45335893,3.51557479,3694,85.96329029,61.79589066,71.85317241,0.021740534,0.015618693,73.625,71.825,74.975,
7.2635195,1399.65,,0.134356484,1.588314111,24.38698349,4.257315537,4013,103.8210766,76.59187872,73.75397924,0.020735581,0.015293573,73.625,71.825,74.975,
7.7640885,1423.6,,0.145053356,1.798750284,24.33717936,4.771915463,4241,116.131405,87.37261546,75.22980902,0.020599945,0.015496718,73.625,71.825,74.975,
8.2633485,1447.7,,0.163498799,2.02086024,24.24992313,5.765468401,4547,139.8026472,105.6324472,75.54197497,0.019155098,0.014468852,73.625,71.825,74.975,
8.76253625,1471.6,,0.183882825,2.315352713,24.16078619,6.750329111,4864,163.0877191,127.0361746,77.87857134,0.018230064,0.01419663,73.625,71.825,74.8625,
9.26522575,1495.65,,0.195621925,2.551668798,24.08488893,7.554424165,5083,181.9374739,141.2325394,77.64294037,0.018078349,0.014037524,73.625,71.825,74.8625,
9.7638765,1519.65,,0.212609859,2.776414585,23.98811765,8.625465937,5336,206.8999813,161.1140948,77.86595181,0.017238894,0.013422861,73.625,71.7575,74.795,
10.26578875,1543.7,,0.231705107,3.053234067,23.87403135,9.91552324,5589,236.6930006,183.9423828,77.77152242,0.016614863,0.012924393,73.625,71.7125,74.75,
10.7646115,1567.7,,0.257344162,3.406907457,23.73517821,11.50803426,5873,273.1314554,214.6465558,78.56967288,0.015877827,0.012474331,73.641875,71.7125,74.733125,
11.26454825,1591.6,,0.279519641,3.741767189,23.61203908,12.86285796,6134,303.7035389,243.5023641,80.16937476,0.015370964,0.012321891,73.7375,71.7125,74.6375,
